LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000993892 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1400   -951.04357            0    -911.9553   -116399.41    5330.9442 
    3200    1474.8372   -958.96018            0   -917.78245    11656.437    4512.2332 
Loop time of 2.33389 on 1 procs for 3200 steps with 217 atoms

Performance: 355.389 ns/day, 0.068 hours/ns, 1371.099 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2735     | 2.2735     | 2.2735     |   0.0 | 97.41
Neigh   | 0.012465   | 0.012465   | 0.012465   |   0.0 |  0.53
Comm    | 0.013779   | 0.013779   | 0.013779   |   0.0 |  0.59
Output  | 2.5918e-05 | 2.5918e-05 | 2.5918e-05 |   0.0 |  0.00
Modify  | 0.029257   | 0.029257   | 0.029257   |   0.0 |  1.25
Other   |            | 0.004893   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4261 ave 4261 max 4261 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8522 ave 8522 max 8522 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8522
Ave neighs/atom = 39.2719
Neighbor list builds = 21
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.666 | 9.666 | 9.666 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -958.96018    41.177738   -917.78245    1474.8372    11656.437    2.2351035            0 5.8191617e-32 
    3300   -957.90817    37.159865    -920.7483    1330.9316    7723.6087    2.2232864  0.017917489  0.075510828 
    3400   -953.12784    40.156478   -912.97136    1438.2594   -10626.277    2.1655844  0.047847464  0.084126968 
    3500   -956.19532    40.131076   -916.06425    1437.3496   -14023.126    2.1634422  0.048636883  0.095694344 
    3600   -957.24007    39.846922   -917.39315    1427.1722    3182.3985    2.2049963 0.0098038601    0.1009648 
    3700   -952.33919    43.435202   -908.90399    1555.6914     11461.71     2.216869   0.18423579   0.10109608 
    3800   -954.18635    40.381115   -913.80523    1446.3051    5790.3606    2.2098444  0.073128637   0.10556572 
    3900    -956.0668    38.755998    -917.3108    1388.0993   -6851.5972    2.1817741  0.063543684   0.10051767 
    4000   -950.32853     38.81318   -911.51535    1390.1473   -9496.2798    2.1636706  0.097070694   0.12283776 
    4100   -953.25058    41.939361   -911.31122    1502.1158   -619.47341    2.1911295   0.34831484  0.088704052 
    4200   -954.82684    38.799262   -916.02758    1389.6488    10412.395    2.2224332   0.21046021  0.083926111 
    4300   -953.89347    39.162192   -914.73128    1402.6477    6807.3531    2.2097782 0.0032432274  0.073780066 
    4400   -951.27836    42.358252    -908.9201     1517.119   -7788.7203    2.1665956   0.13249797  0.085260721 
    4500   -956.18659    39.183299   -917.00329    1403.4037   -8399.3574    2.1780018  0.083957085   0.08673505 
    4600   -957.99378    41.373991   -916.61979    1481.8663   -2451.2182    2.1961587  0.078543883  0.090553214 
    4700    -955.6357    42.074073   -913.56163    1506.9407    5860.2891     2.212109  0.028182006    0.1062498 
    4800   -951.44063    36.949791   -914.49084    1323.4075     5731.402    2.2032936  0.011979267   0.10506363 
    4900   -954.79114    34.119421   -920.67172    1222.0339   -1087.4366    2.1940164  0.087055023   0.10551973 
    5000   -955.95826    39.921813   -916.03645    1429.8546   -6333.2239     2.184869   0.05289567  0.098447441 
    5100   -955.59271    41.866202   -913.72651    1499.4955   -1103.1153    2.1950764  0.012596589  0.097681913 
    5200    -955.1699    35.001805    -920.1681    1253.6377    6443.8163    2.2157814  0.097342486  0.097688624 
    5300   -956.70829    38.240144   -918.46815    1369.6233    529.25138    2.2018944  0.024600019   0.09501975 
    5400   -954.39201    40.244196   -914.14782    1441.4011   -3132.3553    2.1873869   0.10650322  0.093893039 
    5500   -956.59035    40.100558   -916.48979    1436.2566   -6022.5055    2.1882854   0.16332973  0.088710631 
    5600    -957.0548    35.158197    -921.8966    1259.2391    2754.5117    2.2111297    0.0124979   0.10206033 
    5700   -954.52576    40.834084   -913.69168    1462.5288    1452.3523     2.200126  0.027402366    0.1088086 
    5800   -955.21756    40.353663    -914.8639    1445.3219   -566.49737    2.1981489 0.0047692855   0.11090069 
