LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000966386 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1400   -951.04357            0    -911.9553   -116399.41    5330.9442 
    3200    1330.7743   -957.95417            0    -920.7987    9307.1574    4528.6787 
Loop time of 2.30398 on 1 procs for 3200 steps with 217 atoms

Performance: 360.003 ns/day, 0.067 hours/ns, 1388.902 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2545     | 2.2545     | 2.2545     |   0.0 | 97.85
Neigh   | 0.0023818  | 0.0023818  | 0.0023818  |   0.0 |  0.10
Comm    | 0.013707   | 0.013707   | 0.013707   |   0.0 |  0.59
Output  | 2.5068e-05 | 2.5068e-05 | 2.5068e-05 |   0.0 |  0.00
Modify  | 0.028784   | 0.028784   | 0.028784   |   0.0 |  1.25
Other   |            | 0.004576   |            |       |  0.20

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4087 ave 4087 max 4087 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8174 ave 8174 max 8174 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8174
Ave neighs/atom = 37.6682
Neighbor list builds = 4
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.666 | 9.666 | 9.666 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -957.95417    37.155473    -920.7987    1330.7743    9307.1574    2.2269869            0 6.3042107e-32 
    3300   -954.90767    37.714403   -917.19326    1350.7931    6318.7761    2.2145161   0.03058089  0.070261618 
    3400   -956.75398    42.459418   -914.29456    1520.7424   -7130.6927    2.1812568 0.0063448934  0.079753388 
    3500   -954.14706    36.876224   -917.27083    1320.7726   -7876.6774    2.1722146  0.037926874  0.079769414 
    3600    -957.6425    36.573678   -921.06882    1309.9365    -966.5794    2.2018724     0.130258   0.08284271 
    3700   -951.79227     38.86297    -912.9293    1391.9307    7714.6905    2.2078009   0.12440517  0.077854978 
    3800   -954.18523    39.180039   -915.00519    1403.2869    3373.7911    2.2048114   0.19071481  0.086939978 
    3900   -956.40233    37.463847   -918.93848    1341.8191   -3872.3077    2.1890428  0.056542872  0.082502459 
    4000   -951.64751    37.927399   -913.72011    1358.4219   -3087.9734    2.1792477  0.093642201  0.093919047 
    4100   -953.29534    40.970376   -912.32497    1467.4103    2574.6103    2.1977088   0.15312247  0.082111363 
    4200   -958.52646    42.717256    -915.8092    1529.9772    1925.0699     2.208345  0.069627853  0.081173377 
    4300    -956.6697    38.993614   -917.67608    1396.6098     217.6463    2.1990315  0.085565409  0.079146782 
    4400   -950.46387    41.665618   -908.79825    1492.3113   -6182.0296    2.1691277  0.084483347  0.087624946 
    4500   -956.58704    42.386306   -914.20074    1518.1238   -1610.2193    2.1926838  0.091639027  0.079932994 
    4600   -957.32102    40.965108   -916.35592    1467.2216    4379.7704    2.2110201  0.017455788  0.082751008 
    4700   -954.85064    41.518338    -913.3323    1487.0363    3575.2245    2.2039146   0.11740702  0.091452724 
    4800   -952.94837    43.343293   -909.60508    1552.3996   -5893.9359    2.1751276  0.044916589  0.085484519 
    4900   -955.54242     38.46697   -917.07545    1377.7474   -6836.3573    2.1817792  0.034118708  0.094516588 
    5000    -955.3358    40.125991    -915.2098    1437.1675    1878.4034    2.2032031  0.065634836  0.087423772 
    5100   -954.19268    44.554438   -909.63824    1595.7784    6646.9575    2.2116188  0.082128402  0.080699262 
    5200    -953.3013    39.195941   -914.10535    1403.8565    3017.2419    2.2039738   0.02864921   0.08889978 
    5300   -955.37598    38.372474   -917.00351    1374.3628   -10031.886    2.1785188   0.12223012  0.089911947 
    5400   -954.41033    39.721241   -914.68909    1422.6708   -6897.9263    2.1807039   0.20694108  0.088228401 
    5500   -953.12449    42.295081   -910.82941    1514.8564    3317.0453    2.2038203   0.23244331  0.086484011 
    5600   -947.73915     42.37752   -905.36163    1517.8091    8672.0379    2.2029039    0.1495104  0.092784891 
    5700   -953.45301    38.551471   -914.90154    1380.7739    4003.0906    2.2022061  0.057793027  0.098894326 
    5800   -955.99846    40.668342   -915.33011    1456.5925   -8342.5112    2.1768351   0.07000904  0.094864924 
    5900   -955.17773    39.514428    -915.6633    1415.2635   -6652.9144    2.1792937   0.05304671  0.083792813 
    6000   -955.51186    37.996299   -917.51556    1360.8896    4032.3196    2.2078391   0.11094761  0.084774831 
    6100   -962.22213    38.060835   -924.16129    1363.2011    10085.031    2.2362644  0.092962481  0.068499979 
    6200   -955.84168    39.128457   -916.71322    1401.4394   -904.05561    2.1965526   0.18134423  0.092514023 
    6300   -952.67488    37.313639   -915.36124    1336.4392   -8807.7173     2.166243  0.082873776   0.09145265 
    6400   -951.58063    37.260129    -914.3205    1334.5227   -4710.1708    2.1760094   0.02889696  0.087972983 
    6500   -957.03082    34.598693   -922.43213    1239.1997    8924.7103    2.2235417  0.086508235  0.082420745 
    6600   -954.85057     36.89093   -917.95964    1321.2993    8885.7087    2.2157989  0.099002049  0.082029762 
    6700   -951.26462    36.511897   -914.75272    1307.7237   -50.413988     2.189945  0.024302985  0.095195688 
    6800   -951.52807    36.282779   -915.24529    1299.5176   -6300.8382    2.1742702   0.27273404  0.094968174 
    6900   -957.60588    34.652818   -922.95306    1241.1383   -2092.6912    2.2008591  0.026337421  0.091152067 
    7000   -956.78078    40.614504   -916.16627    1454.6642    3077.3722    2.2072684  0.038613556  0.088980722 
