LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000956376 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1600   -951.04357            0   -906.37126   -115280.58    5330.9442 
    3200    1551.4847   -944.03891            0   -900.72116    5776.1526    4608.3303 
Loop time of 2.28162 on 1 procs for 3200 steps with 217 atoms

Performance: 363.531 ns/day, 0.066 hours/ns, 1402.511 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2039     | 2.2039     | 2.2039     |   0.0 | 96.60
Neigh   | 0.029449   | 0.029449   | 0.029449   |   0.0 |  1.29
Comm    | 0.014169   | 0.014169   | 0.014169   |   0.0 |  0.62
Output  | 2.5396e-05 | 2.5396e-05 | 2.5396e-05 |   0.0 |  0.00
Modify  | 0.02927    | 0.02927    | 0.02927    |   0.0 |  1.28
Other   |            | 0.004767   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4238 ave 4238 max 4238 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8476 ave 8476 max 8476 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8476
Ave neighs/atom = 39.0599
Neighbor list builds = 49
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.664 | 9.664 | 9.664 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -944.03891    43.317749   -900.72116    1551.4847    5776.1526    2.1884951            0 1.1944332e-31 
    3300   -951.72422    44.592764   -907.13145    1597.1511    10209.336    2.2123837   0.22927115   0.10697968 
    3400   -949.48371    41.167139   -908.31657    1474.4576   -3479.6251    2.1786554  0.049290807   0.12183829 
    3500   -944.63585    42.762962   -901.87288    1531.6142   -8554.1882    2.1562734  0.065427037    0.1053942 
    3600   -947.79148    45.328009   -902.46347    1623.4849     3263.273    2.1909412   0.32128191   0.13498285 
    3700   -951.73544    43.236189   -908.49925    1548.5635    9432.3328    2.2179959   0.18267245  0.096285807 
    3800   -949.28178    43.648591   -905.63319    1563.3342   -3700.0193    2.1799894   0.24435082   0.12606905 
    3900   -943.60706    42.089137   -901.51792    1507.4803   -8138.7892    2.1555753  0.085362553    0.1314346 
    4000   -944.05143    41.132024    -902.9194    1473.1999    5686.1523    2.1895035  0.027436385   0.12080967 
    4100   -950.78126    45.366859    -905.4144    1624.8764    9340.5572    2.2078525  0.063834839   0.10479995 
    4200   -943.72578    47.939059   -895.78672    1717.0032   -4289.4608    2.1622057   0.23618739   0.10683932 
    4300   -945.50446    46.272747   -899.23171     1657.322   -4618.5649    2.1615431   0.07972844    0.1088019 
    4400   -948.05919    44.633454   -903.42574    1598.6084    5078.4422    2.1922528   0.15210327   0.12869597 
    4500   -948.51717    44.275838   -904.24133    1585.7999    5249.4576     2.194071   0.11952822   0.11547848 
    4600   -945.56056    50.632009   -894.92855     1813.455   -9200.7146    2.1489321   0.12283149   0.11873405 
    4700     -945.647    42.424849   -903.22215    1519.5042   -1655.7359    2.1726969   0.14808447   0.13704685 
    4800   -948.46598    44.567797   -903.89819    1596.2569    5599.2203    2.1940356   0.08274369   0.14043101 
    4900   -944.85674    45.726057   -899.13068    1637.7415    3517.9221    2.1796521  0.042642708   0.13384497 
    5000    -944.1098    45.963956   -898.14584    1646.2622   -9067.4181     2.149276  0.040304567   0.13803813 
    5100    -946.3594    40.502831   -905.85657    1450.6645    1674.7835    2.1812242  0.070948046   0.13028789 
    5200   -948.11942    47.158008   -900.96141    1689.0288    9665.2579    2.2032388   0.16000757   0.11086518 
    5300   -947.41236    46.388122   -901.02424    1661.4543   -2049.0992    2.1713037   0.63197166   0.12470746 
    5400    -952.1054    42.344082   -909.76131    1516.6115   -8782.5808    2.1688821   0.47697248   0.12306604 
    5500   -947.96233    44.213081   -903.74925    1583.5522    749.95874    2.1827938   0.21342238   0.12091633 
    5600   -947.83277    47.601088   -900.23168    1704.8983    5531.8892    2.1940107   0.38903567   0.14079621 
    5700   -948.82324    41.398446    -907.4248    1482.7422   -972.00242     2.181219   0.23687048   0.13437785 
    5800   -946.56289     40.14622   -906.41668     1437.892   -5723.0203    2.1661019   0.18574509   0.15657571 
    5900    -947.2261    46.496675   -900.72943    1665.3423    2700.3424    2.1851165  0.086874682   0.15158194 
    6000   -951.60613    47.869269   -903.73686    1714.5036    3995.1168    2.1962025   0.11078781   0.13774218 
    6100   -946.61087    36.658757   -909.95211    1312.9837    -1389.299    2.1806559  0.072929888   0.13485572 
    6200   -941.19943    40.664679   -900.53475    1456.4613   -5466.8964    2.1538388   0.36407973   0.14662957 
    6300    -951.5922    50.027672   -901.56453    1791.8098    4103.3057     2.196321   0.38051199   0.12681452 
    6400   -947.73167    42.681799   -905.04987    1528.7073    8863.4649     2.200804   0.15226694   0.12290645 
