LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00119052 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1425   -951.04357            0   -911.25729   -116259.55    5330.9442 
    3200    1463.4383   -954.48976            0   -913.63028    5376.1761    4577.9015 
Loop time of 2.33 on 1 procs for 3200 steps with 217 atoms

Performance: 355.982 ns/day, 0.067 hours/ns, 1373.389 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2725     | 2.2725     | 2.2725     |   0.0 | 97.53
Neigh   | 0.0076915  | 0.0076915  | 0.0076915  |   0.0 |  0.33
Comm    | 0.014163   | 0.014163   | 0.014163   |   0.0 |  0.61
Output  | 2.5513e-05 | 2.5513e-05 | 2.5513e-05 |   0.0 |  0.00
Modify  | 0.030553   | 0.030553   | 0.030553   |   0.0 |  1.31
Other   |            | 0.005095   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4211 ave 4211 max 4211 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8422 ave 8422 max 8422 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8422
Ave neighs/atom = 38.8111
Neighbor list builds = 13
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.665 | 9.665 | 9.665 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -954.48976    40.859479   -913.63028    1463.4383    5376.1761    2.2030417            0 6.2763917e-32 
    3300   -958.94428    37.032795   -921.91149    1326.3804   -5187.0914    2.1928878  0.074194112  0.080558895 
    3400   -954.01418     37.93731   -916.07687    1358.7769   -9169.9691    2.1695673    0.1162376  0.081618239 
    3500   -955.33839     42.26723   -913.07116    1513.8589   -1701.0012    2.1897581   0.22298088   0.07710667 
    3600   -952.21059    39.026756   -913.18383    1397.7969    9831.4911    2.2145197   0.23821597    0.1226834 
    3700   -956.57554    35.211204   -921.36434    1261.1376    7206.7548    2.2182462  0.040403545  0.097616122 
    3800   -952.87597    38.186679   -914.68929    1367.7083   -9298.4487     2.172014  0.030065724   0.11975378 
    3900   -951.67186    38.328375   -913.34348    1372.7834   -7577.3781    2.1702941  0.076104667   0.11244825 
    4000   -955.42901    41.252099   -914.17691    1477.5006     5244.925    2.2051022  0.086857324  0.094798127 
    4100   -960.43631    39.171728   -921.26458    1402.9893    9968.6314    2.2343966  0.067357788  0.084502006 
    4200   -950.73792    36.704887   -914.03303     1314.636     1717.059    2.1916794   0.21377124  0.079232318 
    4300    -950.1331    36.738985   -913.39411    1315.8572   -6489.9427    2.1711705  0.005112463  0.095930847 
    4400   -955.30446    40.938194   -914.36626    1466.2577   -5317.6798     2.184538   0.37668832  0.075263416 
    4500   -956.87506    36.597473   -920.27759    1310.7888     8379.291    2.2219579  0.045586582  0.086059949 
    4600   -957.75135    40.195679   -917.55567    1439.6634    6320.4585    2.2187412   0.63228995  0.094218898 
    4700    -954.8018    40.972937   -913.82886     1467.502   -4541.3478    2.1862998    0.4547499   0.10753694 
    4800   -953.54465    39.534409   -914.01024    1415.9791   -9303.1453    2.1700941  0.026375769   0.12261504 
    4900   -951.39971    37.013939   -914.38577     1325.705   -999.99174    2.1885622   0.19047973   0.11148019 
    5000   -956.58726    33.388522   -923.19874    1195.8558    12795.474    2.2345242  0.010495024   0.10611294 
    5100   -957.23361     39.69308   -917.54053    1421.6622    2005.6755    2.2082166     0.158027   0.10104332 
    5200   -954.82325    40.452755   -914.37049     1448.871   -7210.0704    2.1774228  0.030449731   0.10038256 
    5300   -954.63193    41.965644   -912.66629    1503.0572   -6534.2233    2.1776877   0.10443806  0.093244593 
    5400   -958.21311    38.674692   -919.53842    1385.1872     2566.102    2.2129599  0.074932183  0.070916962 
    5500   -952.75185    35.363479   -917.38837    1266.5916    9224.0914    2.2197552   0.22299373  0.096964763 
    5600   -954.83847    41.993643   -912.84483      1504.06   -1386.3894    2.1946372    0.2390828  0.086241075 
    5700   -954.66257    40.598394   -914.06418    1454.0873   -8965.5609    2.1752094   0.23933059  0.086019593 
    5800   -955.89334    34.757139   -921.13621    1244.8747   -1515.8413    2.1971485   0.23369119  0.095802126 
    5900   -953.59216    39.794397   -913.79776     1425.291    4385.2316    2.2038032   0.33608884   0.10174804 
    6000   -953.98666    41.324433   -912.66223    1480.0913    6579.3582    2.2144346  0.033945987   0.12313647 
    6100    -955.1137    38.375203    -916.7385    1374.4606   -300.22882    2.1995322  0.075445462   0.12108887 
    6200   -957.89253    36.912676   -920.97986    1322.0782   -8081.7623    2.1860646   0.15192201   0.11149633 
    6300   -950.10735    37.817165   -912.29019    1354.4737   -6158.0408    2.1736592  0.057737703   0.11105161 
    6400   -953.70767     40.37043   -913.33724    1445.9224    3974.3775    2.2084727   0.24916799  0.095443074 
    6500   -953.75652    39.175131   -914.58139    1403.1111    11175.105    2.2241286   0.32144081  0.077219681 
    6600   -947.16847    39.112151   -908.05632    1400.8554    2305.1622    2.1920559   0.25083851   0.10534798 
    6700   -952.57659    43.004898    -909.5717    1540.2795   -8909.8935    2.1710698  0.050973955   0.10107032 
    6800   -958.00478    43.366784     -914.638    1553.2409   -8373.8442    2.1823478   0.11614316  0.082901702 
    6900   -953.71048    39.838995   -913.87148    1426.8883    5930.1233    2.2089186   0.20445221   0.10611973 
    7000   -951.32767    45.752898   -905.57477    1638.7029     6663.653    2.2029632  0.067069425   0.10839607 
    7100   -953.82464    40.867231   -912.95741     1463.716    753.94667    2.1996478 0.0087602799   0.12059038 
    7200   -952.38596    37.276337   -915.10962    1335.1032    -5503.589    2.1788378   0.14047651   0.13441895 
    7300   -952.11305    41.295121   -910.81793    1479.0415   -5342.4014    2.1806455   0.19761391   0.12972187 
    7400   -950.40631    43.853081   -906.55323    1570.6583    4824.2578    2.1999242   0.11620769   0.12522024 
    7500   -955.03046     40.26893   -914.76153     1442.287     9391.736    2.2259602   0.22366346  0.096757464 
    7600   -953.65323     40.04538   -913.60785    1434.2803    716.97788     2.198376   0.14429628  0.096012784 
    7700   -951.86258    40.324465   -911.53812    1444.2761   -10920.104    2.1671233    0.3000222  0.095293605 
    7800   -954.32031     34.33276   -919.98755    1229.6749   -5007.8327    2.1915793    0.1446195  0.090861792 
    7900   -954.04256    36.952816   -917.08974    1323.5159    3872.7542     2.210701  0.029462839   0.09929116 
    8000   -952.53271    39.649207    -912.8835    1420.0908    5518.7547     2.206937   0.12915514  0.096105036 
    8100   -954.46385    41.467696   -912.99616    1485.2225   -919.85668    2.1957444  0.059376301    0.1103722 
    8200   -957.14472    36.183725   -920.96099    1295.9698   -241.30902    2.2050801   0.23348048    0.1140114 
    8300   -956.29626      41.7932   -914.50306    1496.8809   -4127.9968     2.191952   0.16277789   0.11786758 
    8400   -953.07507    40.617336   -912.45773    1454.7657   -166.76998    2.1966903   0.21187247    0.1194332 
    8500   -956.79996    39.550089   -917.24987    1416.5408    182.39565    2.2041332   0.33540464   0.10590539 
    8600   -955.95695    37.294897   -918.66205     1335.768    639.54821    2.2047533  0.062295783  0.096798888 
    8700   -952.38361    40.195259   -912.18835    1439.6484   -963.40832    2.1898617   0.14114072  0.090859424 
    8800   -953.16874    39.017849   -914.15089    1397.4778   -2880.6151    2.1904657      0.21717  0.091825609 
    8900   -957.95684    38.319123   -919.63771     1372.452   -879.29633     2.204827   0.14768586  0.078571601 
    9000   -954.61472    39.893927   -914.72079    1428.8558    3251.3877    2.2084088  0.050119098  0.097260175 
    9100   -952.63732    40.273459   -912.36386    1442.4492    4446.2682    2.2026295  0.085206852  0.095773114 
    9200   -953.44075    38.539974   -914.90077    1380.3621   -5674.3347    2.1801199   0.07582084   0.10690124 
    9300   -955.35428     39.56791   -915.78637    1417.1791   -7395.7684    2.1786156   0.15106947   0.10427597 
